GRADER REMARKS,Professor,Class time,Three things you remember,Two things you find confusing,One thing you'll definitely use again
GEP100,Dr. Chakraborty,9/26/10 1:15pm,1.How to get help. 2.How to use Academic Search Complete. 3.How to find books using our catalog. ,Nothing in particular a few things on the website just need to be found and learned.,Academic Search Complete.
EDI 330,Seneway,3/1/11,How to find a book on the shelf (call number) How to find help on how to cite resources How to make a search more specific ,,How to find help on how to cite resources
HON112,Dr. Kowal,9/24/10,"library websites, IM, and how to find books.",nothing,EBSCO is not a database
EDI431,Marchetti,9/21/10,How to find Journals. That there was a place to get resources for student placements. The noodlebib.,I'm not the greatest at finding articles or journals,noodlebib
EDI 531,Pelttari,9/23/10,Brockport has full journals available on-line! Very cool. I love researching in my pjs. The juvenile research room has all kinds of goodies for teaching bio to middle schoolers. You can check out more than just books -- all kinds of hands-on goodies -- like globs of fat!,"How to find biology themed resources aimed at educators, that are not 'how to teach' resources. Or maybe I don't understand how to differentiate clearly between bio content sites and bio teaching sites.",I will absolutely use the juvenile resource room and the ebsco search again.
HON112,Donna Kowal,9/24/10,How to use the Library website. How to search using key words. Where everything is in the Library.,"How to concentrate your search, like if its too broad how to make it more specific to what you want.  ",The library website.
hon 112,Dr. Donna Kowal,9/24/10,how to serach for 1st amendment topics how to get help in the library there are 500 000 books here!,how to use the book tab in the search how to filter all the useless information out,the databases and the search engine
HON 112.04,Dr. Kowal,9/24/2010 10:45am,"how to use the book finder, how to use academic search complete, where to find things in the library","How to find and use reference material you cannot check out, where to find the call numbers",Academic Search Complete
EDI330,Aggie Seneway,10/12/10 11:30am,#NAME?,#NAME?,#NAME?
EDI 600,Jill,"9/15/10, 5:45",How to use descriptors How to use the thesaurus  How to EXPLODE terms,Narrowing by date considering the year delay  Use of quotations,AND OR () in searches
GEP 100.03,Zarazinski,10/11/10,Plagarism How to use online data base make sure articles online are good sources and have phd's,Exactly how to find books in library,The online data base
GEP100,Chakraborty,9/27/10,1-Where to look up books online.  2-The different ways to get a hold of the Librarians. 3-All the different resources you can and cannot take out of the library.  ,How to locate a specific book directly by the call number ,The online book/article database
HON 112,Kowal,9/24/10,1. Where to find EBSCO 2. Where to find the Library catalog 3. How to get help from a librarian,1. Why EBSCO tells me there are no results when I type in the exact same thing as my neighbor,1. Library catalog
GEP 100 37B,Timothy Brusseau,10/13/10,theres 3 floors in the library theres a quiet room ways to help cite work,how to find what books I need and where the bathrooms are,a computer
EDI 330,Aggie Seneway,10/12/10 9:45am,Learned where to find lesson plans from the library database. I learned how to cite articles. And I learned how to use call numbers.,APA and call numbers,The elemenatry tab under education resources
GEP 300,Dierks,10/6/10,"Three things I learned today were how to search the library online, find books in the library, and who to ask if I had any questions.",Two things that are still confusing are how to locate a book when finding it online and finding certain links on the website.,How to cite my sources.
GEP 100,Logan,9/13/10 12pm,"where to go to get help, how to find books, how to cite information.","how to look up answers, how to cite articles.",looking up books and using specific areas to find books.
GEP 100,Susan Weilgosz,9/13/12,how to find books how to find articles how librarians can help,the organization of books,the computer system
"GEP100 , 17B",Dr.Joyram Chakraborty,9/27/10,How to look for book. How to ask for help. How to search.,Citing,Library website
EDI431,Marchetti,9/21/10 5:45pm,Where the Kiefer Room is. Where the Juvenile Literature section of the Library is. Ways to search for specific journal articles.,What this assignment is all about. What exactly I am searching for within the article.,Database searches.
GEP300,,10/6/10,"Search, Find, cite,",N/A,Search for articels
EDI 330,AGGIE SENAWAY,3/1/11,"How to find books, where to find books, and the differences in MLA and APA citations.",Nothing,The Education Research guide
GEP100,Zarazinski,10/11/10,the necessity of citation in college how to authenticate a source about peer review,Citations some of the search engines,the library search engine
EDI 330,Aggie,TR 9:45,how to find a book how to cite how to make them more detailed,nothing,citations
edi330,Aggie,"10/12/10, 11:30","How to use the librabry's website, how to site in APA format, and how to use the education tab",,"The education tab, and noondlebib"
GEP100,Dr. Janka Szilagyi,10/4/10,"who to ask for help, how to set up an appt., and how to search for sources","nothing was confusing, great job explainig",how to find sources
EDI600,Jill,9/14/10,1. narrowing search 2. finding specific articles from a citation 3. accessability of interlibrary loan,1. using the educational thesaurus 2. using the * symbol when searching,1. Develop a list of synnonyms to help find relavant articles.
EDC612,Amy Gaesser,9/20/10,"How to find books, journals, and how to get an inter library loan",I feel I'm pretty clear on all subjects,the various databases
